# GENERATED by tools/match_modern_area_nodes.py -- source id, Modern id, verdict, area id(s), area name, name tried, old name. See the script's docstring; correct by hand in modern_manual.AREA_OVERRIDES.
VINDICAAR_ARGUS	VINDICAAR_ARGUS	many	8915,8714,8916	The Vindicaar	The Vindicaar	The Vindicaar (Argus)
SILVERMOON	SILVERMOON	zero				Orgrimmar Portal
MECHAGON	MECHAGON	continent	10418	Rustbolt	Rustbolt	Rustbolt
STORMSONG_VALLEY_MOLE	STORMSONG_VALLEY_MOLE	one	9623	Tidebreak Summit	Tidebreak Summit	Tidebreak Summit
TORTOLLAN_BASE_CAMP	TORTOLLAN_BASE_CAMP	one	9693	Seekers' Vista	Seekers Vista	Seekers Vista
BORALUS_PET	BORALUS_PET	zero				Pet Shop
TIRAGARDE_SOUND_MOLE	TIRAGARDE_SOUND_MOLE	zero				Wailing Tideways
BORALUS	BORALUS	zero				Portal Room
PEAK_OF_SERENITY	PEAK_OF_SERENITY	zero				Peak of Serenity
EMERALD_DREAMWAY	EMERALD_DREAMWAY	one	7979	Emerald Dreamway	Emerald Dreamway	Emerald Dreamway
VALSHARAH	VALSHARAH	zero				Lorlathil Portal
ACHERUS	ACHERUS	zero				Acherus
VALSHARAH_DRUID	VALSHARAH_DRUID	one	7846	The Dreamgrove	The Dreamgrove	The Dreamgrove
HIGHMOUNTAIN_MOLE	HIGHMOUNTAIN_MOLE	one	7936	Frosthoof Watch	Frosthoof Watch	Frosthoof Watch
AZSUNA	AZSUNA	many	7349,7569,8206,8212	Faronaar	Faronaar	Faronaar
DALARAN_BROKEN_ISLES_PET	DALARAN_BROKEN_ISLES_PET	zero				Dalaran Pet Shop
HALL_OF_THE_GUARDIAN	HALL_OF_THE_GUARDIAN	one	7879	Hall of the Guardian	Hall of the Guardian	Hall of the Guardian
THE_BROKEN_SHORE_MOLE	THE_BROKEN_SHORE_MOLE	zero				Allgen Point
DALARAN_BROKEN_ISLES	DALARAN_BROKEN_ISLES	one	7502	Dalaran	Dalaran	Dalaran (Broken Isles)
THE_NIGHTHOLD	THE_NIGHTHOLD	one	9502	The Nighthold	The Nighthold	The Nighthold
THE_BROKEN_SHORE	THE_BROKEN_SHORE	one	8648	Aalgen Point	Aalgen Point	Aalgen Point
NAGRAND_DRAENOR_WORMHOLE	NAGRAND_DRAENOR_WORMHOLE	one	6755	Nagrand	Nagrand	Nagrand (Grassy plains)
NAGRAND_DRAENOR_MOLE	NAGRAND_DRAENOR_MOLE	one	6755	Nagrand	Nagrand	Nagrand (Draenor)
