kharanos	1426	47.4	52.4	Kharanos	town
darnassus	1457	67	16.8	Darnassus	city
ratchet	1413	62	39.4	Ratchet	town
freewind_post	1441	46	51.4	Freewind Post	town
ironforge	1455	18.4	51.4	Ironforge	city
hammerfall	1417	73.8	32.4	Hammerfall	town
orgrimmar	1454	54	68.6	Orgrimmar	city
thunder_bluff	1456	45.4	63.4	Thunder Bluff	city
dolanaar	1438	55.6	59.8	Dolanaar	town
stormwind	1453	52.4	65.6	Stormwind	city
goldshire	1429	43.8	65.8	Goldshire	town	87
bloodhoof_village	1412	46.6	61	Bloodhoof Village	town
undercity	1458	66.8	38.6	Undercity	city
cenarion_hold	1451	51.8	39	Cenarion Hold	town
sun_rock_retreat	1442	47.4	62	Sun Rock Retreat	town
aerie_peak	1425	13.4	41.8	Aerie Peak	town
gadgetzan	1446	52.4	27.8	Gadgetzan	town
menethil_harbor	1437	10.6	60.8	Menethil Harbor	town
auberdine	1439	37	44	Auberdine	town
southshore	1424	51	58.8	Southshore	town
sentinel_hill	1436	52.8	53.4	Sentinel Hill	town
splintertree_post	1440	74	60.6	Splintertree Post	town
brill	1420	61.6	52	Brill	town
feathermoon_stronghold	1444	31	43.4	Feathermoon Stronghold	town
gromgol_base_camp	1434	31.4	29.6	Grom'gol Base Camp	town
everlook	1452	61.2	38.8	Everlook	town
lights_hope_chapel	1423	81.4	58.2	Light's Hope Chapel	town
crossroads	1413	52	29.8	The Crossroads	town
lakeshire	1433	26.8	44.2	Lakeshire	town
camp_taurajo	1413	45.4	59	Camp Taurajo	town
razor_hill	1411	51.4	41.6	Razor Hill	town
nijels_point	1443	66.2	6.6	Nijel's Point	town
tarren_mill	1424	62.6	19	Tarren Mill	town
shadowprey_village	1443	24	68.2	Shadowprey Village	town
revantusk_village	1425	78.2	81.2	Revantusk Village	town
the_sepulcher	1421	43.2	41.2	The Sepulcher	town
stonetalon_peak	1442	35.6	5.8	Stonetalon Peak	town
camp_mojache	1444	74.8	45	Camp Mojache	town
thelsamar	1432	35.4	48.4	Thelsamar	town
theramore_isle	1445	66.4	45.2	Theramore Isle	town
stonard	1435	45	56.4	Stonard	town
astranaar	1440	37	49.2	Astranaar	town
kargath	1418	2.8	45.8	Kargath	town
booty_bay	1434	27	77.2	Booty Bay	town
darkshire	1431	73.8	44.4	Darkshire	town
dalaran	1416	15.1	66.2	Dalaran	city	279
