11867	Woo Ping	Weapon Master	1453	Stormwind City	56.4,58 57,57.4 57,57.6	200:Polearms|201:One-Handed Swords|202:Two-Handed Swords|227:Staves|1180:Daggers|5011:Crossbows
11870	Archibald	Weapon Master	1458	Undercity	56.4,33.2 56.4,33.6 56.6,33.8 57,32.8 57.2,32.4 57.6,32.6 57.8,31.4 57.8,31.6	200:Polearms|201:One-Handed Swords|202:Two-Handed Swords|1180:Daggers|5011:Crossbows
11868	Sayoc	Weapon Master	1454	Orgrimmar	81.4,19.4 81.4,19.6 81.6,19.4	196:One-Handed Axes|197:Two-Handed Axes|264:Bows|1180:Daggers|2567:Thrown|15590:Fist Weapons
11865	Buliwyf Stonehand	Weapon Master	1455	Ironforge	61.4,89.2 61.4,89.6 61.6,89.2 61.6,89.6	196:One-Handed Axes|197:Two-Handed Axes|198:One-Handed Maces|199:Two-Handed Maces|266:Guns|15590:Fist Weapons
11869	Ansekhwa	Weapon Master	1456	Thunder Bluff	40.4,62.4 40.4,62.6 40.6,62.6 41,62.2 41.2,61.4	198:One-Handed Maces|199:Two-Handed Maces|227:Staves|266:Guns
2704	Hanashi	Weapon Master	1454	Orgrimmar	81.4,19.4 81.4,19.6 81.6,19.4	196:One-Handed Axes|197:Two-Handed Axes|227:Staves|264:Bows|2567:Thrown
13084	Bixi Wobblebonk	Weapon Master	1455	Ironforge	61.4,88.4 61.4,89 62,89.4 62,89.6	1180:Daggers|2567:Thrown|5011:Crossbows
11866	Ilyenia Moonfire	Weapon Master	1457	Darnassus	57.2,45.4 57.4,46.4 57.4,46.6 57.6,46.4 57.6,46.6	227:Staves|264:Bows|1180:Daggers|2567:Thrown|15590:Fist Weapons
4732	Randal Hunter	Horse Riding Instructor	1429	Elwynn Forest	84.2,65	824:Horse Riding|33388:Apprentice Riding|33391:Journeyman Riding
7953	Xar'Ti	Raptor Riding Trainer	1411	Durotar	55.2,75.4 55.2,75.6	10861:Raptor Riding|33388:Apprentice Riding|33391:Journeyman Riding
4772	Ultham Ironhorn	Ram Riding Instructor	1426	Dun Morogh	63.8,50.2	33388:Apprentice Riding|33391:Journeyman Riding
4752	Kildar	Wolf Riding Instructor	1454	Orgrimmar	69,13.8 69.2,13.2 69.4,12.4 69.6,12.8	
4773	Velma Warnam	Undead Horse Riding Instructor	1420	Tirisfal Glades	60,52.4 60,52.6	10906:Undead Horsemanship|33388:Apprentice Riding|33391:Journeyman Riding
3690	Kar Stormsinger	Kodo Riding Instructor	1412	Mulgore	47.4,58.4 47.6,58.4 47.6,58.6	33388:Apprentice Riding|33391:Journeyman Riding
4753	Jartsam	Nightsaber Riding Instructor	1457	Darnassus	38.4,15.4 38.4,15.8 38.4,17 38.6,15.4 38.6,16 38.6,17	828:Tiger Riding|33388:Apprentice Riding|33391:Journeyman Riding
7954	Binjy Featherwhistle	Mechanostrider Pilot	1426	Dun Morogh	49.2,48	10907:Mechanostrider Piloting|33388:Apprentice Riding|33391:Journeyman Riding
